B000:[---][---][---][---][---][---][---][---]|L001:[---][---]|L001:[---][---]|L001:[---][---]: 0
B000:[---][---][---][---][---][---][---][---]|L001:[001][---]|L001:[001][---]|L002:[---][---]: 1, 2, 3, 5, 7, 10, 13, 16, 19, 27, 35, 43
B000:[---][---][---][---][---][---][---][---]|L001:[001][001]|L001:[001][001]|L002:[---][---]: 4, 6, 22, 30, 42, 50
B000:[---][---][---][---][---][---][---][---]|L001:[002][002]|L002:[001][---]|L002:[001][---]: 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 23, 25, 28, 29, 31, 33, 36, 37, 38, 40, 44, 45, 46, 48
B000:[---][---][---][---][---][---][---][---]|L001:[001][001]|L001:[001][001]|L001:[001][001]: 24, 26, 32, 34, 39, 41, 47, 49
B000:[---][---][---][---][---][001][---][---]|L001:[000][---]|L002:[---][---]|L002:[---][---]: 51, 70, 89, 108, 127, 146, 165, 223, 281, 339, 397, 455, 513, 678, 843, 1008, 1173, 1338, 1503, 1951, 2399, 2847, 3295, 3743
B000:[---][---][---][---][---][002][---][---]|L001:[001][---]|L001:[001][---]|L002:[000][---]: 52, 53, 54, 56, 71, 72, 73, 75, 93, 95, 100, 104, 112, 114, 119, 123, 130, 132, 135, 139, 149, 151, 154, 158, 166, 167, 168, 170, 224, 225, 226, 228, 285, 287, 292, 296, 343, 345, 350, 354, 400, 402, 405, 409, 458, 460, 463, 467, 514, 515, 516, 518, 679, 680, 681, 683, 847, 849, 854, 858, 1012, 1014, 1019, 1023, 1176, 1178, 1181, 1185, 1341, 1343, 1346, 1350, 1504, 1505, 1506, 1508, 1952, 1953, 1954, 1956, 2403, 2405, 2410, 2414, 2851, 2853, 2858, 2862, 3298, 3300, 3303, 3307, 3746, 3748, 3751, 3755
B000:[---][---][---][---][---][002][---][---]|L001:[001][001]|L001:[001][001]|L002:[000][---]: 55, 57, 74, 76, 103, 107, 122, 126, 137, 141, 156, 160, 169, 171, 227, 229, 295, 299, 353, 357, 407, 411, 465, 469, 517, 519, 682, 684, 857, 861, 1022, 1026, 1183, 1187, 1348, 1352, 1507, 1509, 1955, 1957, 2413, 2417, 2861, 2865, 3305, 3309, 3753, 3757
B000:[---][---][---][---][---][001][---][---]|L001:[002][000]|L002:[001][---]|L003:[---][---]: 58, 61, 64, 67, 77, 80, 83, 86, 90, 91, 92, 97, 109, 110, 111, 116, 128, 129, 134, 143, 147, 148, 153, 162, 172, 175, 178, 181, 230, 233, 236, 239, 282, 283, 284, 289, 340, 341, 342, 347, 398, 399, 404, 413, 456, 457, 462, 471, 520, 523, 526, 529, 685, 688, 691, 694, 844, 845, 846, 851, 1009, 1010, 1011, 1016, 1174, 1175, 1180, 1189, 1339, 1340, 1345, 1354, 1510, 1513, 1516, 1519, 1958, 1961, 1964, 1967, 2400, 2401, 2402, 2407, 2848, 2849, 2850, 2855, 3296, 3297, 3302, 3311, 3744, 3745, 3750, 3759
B000:[---][---][---][---][---][001][---][---]|L001:[002][000]|L002:[001][003]|L003:[002][---]: 59, 60, 62, 63, 65, 66, 68, 69, 78, 79, 81, 82, 84, 85, 87, 88, 94, 96, 98, 99, 101, 102, 105, 106, 113, 115, 117, 118, 120, 121, 124, 125, 131, 133, 136, 138, 140, 142, 144, 145, 150, 152, 155, 157, 159, 161, 163, 164, 173, 174, 176, 177, 179, 180, 182, 183, 231, 232, 234, 235, 237, 238, 240, 241, 286, 288, 290, 291, 293, 294, 297, 298, 344, 346, 348, 349, 351, 352, 355, 356, 401, 403, 406, 408, 410, 412, 414, 415, 459, 461, 464, 466, 468, 470, 472, 473, 521, 522, 524, 525, 527, 528, 530, 531, 686, 687, 689, 690, 692, 693, 695, 696, 848, 850, 852, 853, 855, 856, 859, 860, 1013, 1015, 1017, 1018, 1020, 1021, 1024, 1025, 1177, 1179, 1182, 1184, 1186, 1188, 1190, 1191, 1342, 1344, 1347, 1349, 1351, 1353, 1355, 1356, 1511, 1512, 1514, 1515, 1517, 1518, 1520, 1521, 1959, 1960, 1962, 1963, 1965, 1966, 1968, 1969, 2404, 2406, 2408, 2409, 2411, 2412, 2415, 2416, 2852, 2854, 2856, 2857, 2859, 2860, 2863, 2864, 3299, 3301, 3304, 3306, 3308, 3310, 3312, 3313, 3747, 3749, 3752, 3754, 3756, 3758, 3760, 3761
B000:[---][---][---][---][001][001][---][---]|L001:[000][000]|L002:[---][---]|L002:[---][---]: 184, 242, 316, 374, 448, 506, 1668, 2116, 2680, 3128, 3692, 4140
